first_two_cards,royal_flush,straight_flush,four_of_a_kind,full_house,flush,straight,three_of_a_kind,two_pairs,one_pair,high_card
other: 2 4,0.0000018878966942928884,0.0001817100568256905,0.0012592270950933565,0.022241310955464517,0.01953453907002209,0.1415837565368423,0.04400498404727293,0.22530631123864903,0.41739130434782606,0.12849496875530972
other: 2 5,0.0000018878966942928884,0.00019964507542147294,0.0012592270950933565,0.022241310955464517,0.019516604051426308,0.12226490966414318,0.04400498404727293,0.22530631123864903,0.43016858917480033,0.13503653080103456
other: 2 6,0.0000018878966942928884,0.00019775717872718004,0.0012592270950933565,0.022241310955464517,0.0195184919481206,0.11311427438690555,0.044274953274556814,0.22658536124903245,0.4401064773735581,0.13270025864184712
other: 2 7,0.0000018878966942928884,0.00019775717872718004,0.0012592270950933565,0.022241310955464517,0.0195184919481206,0.1171902433498839,0.0445449225018407,0.2278644112594159,0.43868677905944986,0.12849496875530972
other: 2 8,0.0000018878966942928884,0.00019775717872718004,0.0012592270950933565,0.022241310955464517,0.0195184919481206,0.12006551001529196,0.0445449225018407,0.2278644112594159,0.43300798580301686,0.13129849534633464
other: 2 9,0.0000018878966942928884,0.0001991731012478997,0.0012592270950933565,0.022241310955464517,0.019517076025599878,0.11726198342426702,0.0445449225018407,0.2278644112594159,0.43300798580301686,0.1341020219373596
other: 2 10,0.00002312673450508788,0.00018076610847854406,0.0012592270950933565,0.022241310955464517,0.01951424418055844,0.12004757499669617,0.0445449225018407,0.2278644112594159,0.4344276841171251,0.12989673205082217
other: 2 J,0.00002312673450508788,0.0001599992448413223,0.0012592270950933565,0.022241310955464517,0.019535011044195662,0.11812475221355888,0.0445449225018407,0.2278644112594159,0.43868677905944986,0.12756045989163473
other: 2 Q,0.00002312673450508788,0.00013545658781551474,0.0012592270950933565,0.022241310955464517,0.01955955370122147,0.10448469859729276,0.0445449225018407,0.2278644112594159,0.4457852706299911,0.1341020219373596
other: 2 K,0.00002312673450508788,0.00010619418905397497,0.0012592270950933565,0.022241310955464517,0.01958881609998301,0.06931507107931054,0.0445449225018407,0.2278644112594159,0.45572315882874886,0.15933376125658405
same suit: 3 4,0.0000018878966942928884,0.0022088391323226795,0.0012592270950933565,0.022241310955464517,0.06360984726915743,0.1866908002794087,0.04289395684268157,0.21890445354830185,0.3693405576846835,0.0928491192961921
same suit: 3 5,0.0000018878966942928884,0.0019077196095829635,0.0012592270950933565,0.022241310955464517,0.06391096679189714,0.14358303913609846,0.04289395684268157,0.21890445354830185,0.3895599312805603,0.11573750684362552
same suit: 3 6,0.0000018878966942928884,0.0013328550661707791,0.0012592270950933565,0.022241310955464517,0.06448583133530933,0.12200862768789292,0.04315873435405614,0.22015188128905586,0.40573543015726177,0.119624214163001
same suit: 3 7,0.0000018878966942928884,0.0009321489928071136,0.0012592270950933565,0.022241310955464517,0.06488653740867299,0.12033925503596443,0.043423511865430725,0.2213993090298099,0.40977930487643716,0.11573750684362552
same suit: 3 8,0.0000018878966942928884,0.0006003511487851385,0.0012592270950933565,0.022241310955464517,0.06521833525269498,0.11974315165474145,0.0436882893768053,0.2226467367705639,0.40843134663671204,0.11616936321244502
same suit: 3 9,0.0000018878966942928884,0.0006725631973418415,0.0012592270950933565,0.022241310955464517,0.06514612320413828,0.12383941550718344,0.0436882893768053,0.2226467367705639,0.40303951367781155,0.11746493231890351
same suit: 3 10,0.00002312673450508788,0.0006527402820517661,0.0012592270950933565,0.022241310955464517,0.06514470728161754,0.12513498461364195,0.0436882893768053,0.2226467367705639,0.40303951367781155,0.11616936321244502
same suit: 3 J,0.00002312673450508788,0.0006017670713058582,0.0012592270950933565,0.022241310955464517,0.06519568049236346,0.12497781721384206,0.0436882893768053,0.2226467367705639,0.40708338839698693,0.11228265589306953
same suit: 3 Q,0.00002312673450508788,0.0004870773471275652,0.0012592270950933565,0.022241310955464517,0.06531037021654175,0.11300336045611584,0.0436882893768053,0.2226467367705639,0.41517113783533766,0.11616936321244502
same suit: 3 K,0.00002312673450508788,0.00029592780683041024,0.0012592270950933565,0.022241310955464517,0.0655015197568389,0.07755149238233684,0.0436882893768053,0.2226467367705639,0.42730276199286377,0.13948960712869793
pair: 3,0.0000018878966942928884,0.00018595782438784948,0.008423795049934868,0.08547641073080481,0.01953029130245993,0.03790141403462403,0.11749891445940078,0.3959599010742132,0.3350214276274802,0
other: 3 4,0.0000018878966942928884,0.00020672468802507128,0.0012592270950933565,0.022241310955464517,0.019509524438822708,0.19956200796692405,0.04373501481998905,0.22402726122826558,0.38899733806566106,0.10045970284506033
other: 3 5,0.0000018878966942928884,0.0002246597066208537,0.0012592270950933565,0.022241310955464517,0.019491589420226926,0.1535020483679133,0.04373501481998905,0.22402726122826558,0.41029281277728485,0.12522418773244728
other: 3 6,0.0000018878966942928884,0.00022277180992656082,0.0012592270950933565,0.022241310955464517,0.019493477316921217,0.13071135947440957,0.04400498404727293,0.22530631123864903,0.42732919254658386,0.12942947761898468
other: 3 7,0.0000018878966942928884,0.00022277180992656082,0.0012592270950933565,0.022241310955464517,0.019493477316921217,0.1291085351809549,0.044274953274556814,0.22658536124903245,0.4315882874889086,0.12522418773244728
other: 3 8,0.0000018878966942928884,0.00022277180992656082,0.0012592270950933565,0.022241310955464517,0.019493477316921217,0.12851195982555835,0.0445449225018407,0.2278644112594159,0.43016858917480033,0.12569144216428477
other: 3 9,0.0000018878966942928884,0.0002241877324472805,0.0012592270950933565,0.022241310955464517,0.0194920613944005,0.13278898978647888,0.0445449225018407,0.2278644112594159,0.42448979591836733,0.12709320545979724
other: 3 10,0.00002312673450508788,0.0002057807396779248,0.0012592270950933565,0.022241310955464517,0.01948922954935906,0.13419075308199135,0.0445449225018407,0.2278644112594159,0.42448979591836733,0.12569144216428477
other: 3 J,0.00002312673450508788,0.00018501387604070305,0.0012592270950933565,0.022241310955464517,0.01950999641299628,0.13413694802620402,0.0445449225018407,0.2278644112594159,0.4287488908606921,0.12148615227774737
other: 3 Q,0.00002312673450508788,0.0001604712190148955,0.0012592270950933565,0.022241310955464517,0.01953453907002209,0.12141346825501709,0.0445449225018407,0.2278644112594159,0.4372670807453416,0.12569144216428477
